audio_id,duration_s,sample_rate,n_channels,n_samples,rms_mean,rms_std,rms_max,rms_min,zcr_mean,zcr_std,zcr_max,energy,energy_db,spectral_centroid_mean,spectral_centroid_std,spectral_bandwidth_mean,spectral_bandwidth_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,spectral_contrast_band1_mean,spectral_contrast_band1_std,spectral_contrast_band2_mean,spectral_contrast_band2_std,spectral_contrast_band3_mean,spectral_contrast_band3_std,spectral_contrast_band4_mean,spectral_contrast_band4_std,spectral_contrast_band5_mean,spectral_contrast_band5_std,spectral_contrast_band6_mean,spectral_contrast_band6_std,spectral_contrast_band7_mean,spectral_contrast_band7_std,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,mfcc14_mean,mfcc14_std,mfcc15_mean,mfcc15_std,mfcc16_mean,mfcc16_std,mfcc17_mean,mfcc17_std,mfcc18_mean,mfcc18_std,mfcc19_mean,mfcc19_std,mfcc20_mean,mfcc20_std,mfcc_delta1_mean,mfcc_delta2_mean,mfcc_delta3_mean,mfcc_delta4_mean,mfcc_delta5_mean,mfcc_delta6_mean,mfcc_delta7_mean,mfcc_delta8_mean,mfcc_delta9_mean,mfcc_delta10_mean,mfcc_delta11_mean,mfcc_delta12_mean,mfcc_delta13_mean,mfcc_delta14_mean,mfcc_delta15_mean,mfcc_delta16_mean,mfcc_delta17_mean,mfcc_delta18_mean,mfcc_delta19_mean,mfcc_delta20_mean,chroma_C_mean,chroma_C_std,chroma_C#_mean,chroma_C#_std,chroma_D_mean,chroma_D_std,chroma_D#_mean,chroma_D#_std,chroma_E_mean,chroma_E_std,chroma_F_mean,chroma_F_std,chroma_F#_mean,chroma_F#_std,chroma_G_mean,chroma_G_std,chroma_G#_mean,chroma_G#_std,chroma_A_mean,chroma_A_std,chroma_A#_mean,chroma_A#_std,chroma_B_mean,chroma_B_std,dominant_note,dominant_note_name,bpm,n_beats,beat_interval_mean,beat_interval_std,first_beat_time,last_beat_time,loudness_lufs,original_filename
01M0E9X162CTB4D15WZQ5D8FVX,30.00018140589569,44100,1,1323008,0.06138591468334198,0.05493401363492012,0.25463852286338806,5.157562191016041e-05,0.10959543490087041,0.07037542617365909,0.52001953125,8984.31640625,39.53485038341195,4057.8023492826756,1505.209362204919,3637.1878449983064,795.3041697664095,7603.6530804219055,3017.4232424412644,0.005935602355748415,0.018649278208613396,16.648788288351216,6.260562076433653,23.09072837017142,5.603658975957674,23.862495592844986,6.048966234563862,24.09126678222577,5.764661885881026,22.784696982079055,5.1770281549080295,26.71854919638863,6.331895355667094,37.06658000616389,7.820134364338262,-319.1060791015625,118.68811798095703,63.385093688964844,36.863441467285156,-69.97583770751953,39.56462478637695,4.555390357971191,26.790985107421875,-6.535219669342041,26.07969093322754,5.598470211029053,15.183223724365234,-47.91642761230469,24.133756637573242,18.566593170166016,14.456018447875977,-10.588991165161133,12.723694801330566,-22.131938934326172,15.1221923828125,-10.580065727233887,11.968546867370605,-10.563785552978516,11.423373222351074,-21.566862106323242,12.267523765563965,-5.017767906188965,9.984910011291504,-15.83022689819336,8.69008731842041,-13.360036849975586,9.845428466796875,6.406175136566162,8.394186973571777,-11.045997619628906,7.956005573272705,-14.223509788513184,7.942439079284668,-6.961808681488037,8.485429763793945,-0.17342029511928558,-0.03626980632543564,0.02934010699391365,-0.0003526632208377123,0.0110968928784132,-0.004349175374954939,0.019474346190690994,-0.010398377664387226,0.005739518441259861,0.008163929916918278,-0.008626434952020645,-0.010043333284556866,0.0057670800015330315,-0.001487747416831553,0.0021762633696198463,0.0022575438488274813,-0.00527901342138648,0.009188063442707062,0.007455743849277496,0.006680269259959459,0.3552758991718292,0.3452375829219818,0.2522448003292084,0.24796555936336517,0.20868565142154694,0.24871112406253815,0.19028671085834503,0.20555023849010468,0.34794875979423523,0.30926454067230225,0.4692170321941376,0.34695497155189514,0.46524542570114136,0.3147014081478119,0.3898439407348633,0.3266162574291229,0.29937636852264404,0.2463187575340271,0.36246931552886963,0.35006725788116455,0.259669691324234,0.26424574851989746,0.27850019931793213,0.2675250768661499,5,F,117.45383522727273,50,0.5056263593872923,0.03342426221291556,1.7763265306122449,26.55201814058957,-18.640636686628586,f0b8fba5717578aecd96cb0114ff8ad7_01M0E9X162CTB4D15WZQ5D8FVX.wav
01M0E9X17RZ522YBF6Z913H4VJ,30.00018140589569,44100,1,1323008,0.033364664763212204,0.0496923066675663,0.19994795322418213,0.0,0.07807777744197292,0.08007785077586144,0.4912109375,4745.21044921875,36.76255478071577,2729.892926439786,2462.6239128168713,2263.432194560243,1912.4330822377028,4821.321664954062,4617.5590506630115,0.3948458731174469,0.4801183044910431,13.957839361162362,4.475931770462704,18.83912085181609,6.170873129656522,19.698307298010985,5.9872499092911315,20.7330046986534,6.434465874086159,19.568078032901294,5.1880511231519275,22.916049886260467,7.206645268644432,27.6385503077419,11.811498462446538,-456.5487365722656,167.2572479248047,26.976346969604492,33.94620895385742,-46.51872253417969,49.193599700927734,0.10813701152801514,20.987804412841797,0.5645836591720581,19.188039779663086,4.913905620574951,10.455421447753906,-24.96047592163086,29.219114303588867,12.651339530944824,15.297582626342773,-6.432122707366943,11.698545455932617,-13.114276885986328,16.636892318725586,-6.842665672302246,9.836305618286133,-8.802969932556152,12.38851547241211,-11.566669464111328,13.517276763916016,-0.6737228631973267,7.055260181427002,-7.981103420257568,9.908469200134277,-8.255424499511719,10.018662452697754,4.348916053771973,7.1913065910339355,-4.816561698913574,7.968907356262207,-10.231965065002441,11.882720947265625,-4.026453495025635,10.333293914794922,-0.008136777207255363,0.00830104947090149,0.02543758787214756,0.0006950725219212472,-0.009736555628478527,-0.014253680594265461,0.012970561161637306,0.005681031849235296,0.010842940770089626,0.002882101107388735,-0.0062077585607767105,0.0022094002924859524,-0.004406058229506016,0.0022469167597591877,0.004302710294723511,-0.0008835314656607807,-0.003598315641283989,-0.0028312373906373978,0.0027246803510934114,0.005148652475327253,0.22842444479465485,0.31416529417037964,0.1636115163564682,0.2280358523130417,0.17164753377437592,0.24632921814918518,0.17379797995090485,0.24645505845546722,0.29484352469444275,0.3278398811817169,0.4526963233947754,0.43680375814437866,0.2565368413925171,0.29077211022377014,0.16813865303993225,0.24383799731731415,0.15309059619903564,0.23000548779964447,0.12954431772232056,0.21330159902572632,0.09307431429624557,0.1728365421295166,0.15156351029872894,0.24426832795143127,5,F,161.4990234375,76,0.3832840513983371,0.02532950703764962,0.7662585034013606,29.512562358276643,-18.378417923920388,6296d8903f0d52a9225aaafabb1eb449_01M0E9X17RZ522YBF6Z913H4VJ.wav
01M0E9X19DMAXGT6QD167G1YJX,30.00018140589569,44100,1,1323008,0.06580658257007599,0.05769871175289154,0.22666221857070923,0.0002554601524025202,0.12782504231141198,0.06555190041772087,0.52197265625,10140.69921875,40.06067901385423,4337.044426418867,1392.5857579062192,3616.6868525031946,686.4479014448876,7905.201224764265,2839.9349524187687,0.007818429730832577,0.02002476342022419,12.443795159102052,4.785804250575801,18.96864014970768,7.1431366525463025,22.0814065044873,6.387341112391944,23.09465600090391,5.997971645404573,21.85785078730155,5.430947408909938,26.22002676610858,6.0804339049014615,38.025805519728,6.982565822446564,-302.5748596191406,107.48143768310547,50.3619499206543,30.53135871887207,-80.708251953125,37.31306457519531,1.6259403228759766,25.34113311767578,-10.58997631072998,25.950162887573242,6.757758617401123,13.831997871398926,-39.70818328857422,23.858428955078125,25.182289123535156,14.388845443725586,-12.119077682495117,14.203298568725586,-21.944686889648438,15.162008285522461,-11.271326065063477,12.101158142089844,-13.938299179077148,12.808455467224121,-20.471208572387695,10.27971076965332,-6.754297733306885,9.743144989013672,-15.641162872314453,9.153801918029785,-14.50389575958252,10.697888374328613,5.498905181884766,9.618361473083496,-5.25512170791626,9.282025337219238,-9.963354110717773,14.690774917602539,-0.8519840240478516,17.582935333251953,-0.0336117297410965,-0.006884392350912094,0.02027755044400692,0.01521975640207529,-0.0007229567272588611,0.007366316858679056,-0.007987022399902344,-0.014285685494542122,0.0036652651615440845,-0.00804835930466652,-0.009057475253939629,-0.0023084667045623064,-0.005204625893384218,0.0034311593044549227,-0.0008331733988597989,-0.0028765355236828327,-0.00045305618550628424,-0.0036144352052360773,-0.00453924760222435,-0.0025775444228202105,0.34102267026901245,0.32003745436668396,0.2565065622329712,0.24549047648906708,0.3126905560493469,0.31151488423347473,0.2890439033508301,0.27006155252456665,0.39445289969444275,0.32543548941612244,0.4936119318008423,0.37108129262924194,0.38902029395103455,0.30422380566596985,0.32410186529159546,0.3019840717315674,0.2766052782535553,0.2709030508995056,0.2743344306945801,0.29638540744781494,0.19035793840885162,0.2009880691766739,0.310058057308197,0.32548898458480835,5,F,120.18531976744185,52,0.5001396114001156,0.025273900832271726,3.5062131519274375,29.013333333333332,-18.05765786160454,0e5bed0b45b606bc1d1b7678bc07bc70_01M0E9X19DMAXGT6QD167G1YJX.wav
01M0E9X1AGP5JXX7YEA7NAV25V,30.00018140589569,44100,1,1323008,0.04818735644221306,0.053128767758607864,0.18885836005210876,0.0,0.1025075178312379,0.06427998936068931,0.453125,6809.63623046875,38.33123912600053,3943.03577179274,1829.9805533177794,3507.3203035159668,1405.2548795111563,7372.585567275145,3955.884610655816,0.0958133339881897,0.2754640281200409,13.004536214536017,5.232734810631753,19.314004613300337,6.176892264201922,21.509041950972428,6.02644213533961,22.357840550610575,6.410550093373312,20.859775593395444,4.8853771233486905,24.69062280502354,6.243279787421131,33.456422590743955,10.040994795955319,-371.6864929199219,148.1074676513672,46.4571533203125,33.462955474853516,-63.06843566894531,46.618988037109375,-3.2157859802246094,24.394201278686523,-4.899083614349365,20.43118667602539,6.083702564239502,12.159710884094238,-33.78486633300781,26.982711791992188,18.001890182495117,15.26435375213623,-8.042316436767578,13.320520401000977,-16.406158447265625,14.388676643371582,-12.136798858642578,11.540609359741211,-13.651780128479004,12.459756851196289,-16.721620559692383,11.621899604797363,-5.5173115730285645,9.306519508361816,-11.336860656738281,9.08835506439209,-10.020242691040039,9.526569366455078,4.241995811462402,8.010523796081543,-7.149738788604736,9.2844877243042,-12.115226745605469,12.5817232131958,-4.720114707946777,14.084811210632324,-0.16295978426933289,-0.03599761426448822,0.04020721837878227,0.004200697410851717,0.011823019944131374,-0.001490043941885233,0.020567744970321655,-0.011238603852689266,0.00669514574110508,0.0043124789372086525,-0.0024800030514597893,0.00606115534901619,0.010631594806909561,6.27462359261699e-05,0.007989881560206413,0.004297763574868441,-0.010259457863867283,0.0015421677380800247,0.0047816019505262375,-0.0026288204826414585,0.35078948736190796,0.3616143465042114,0.22574758529663086,0.26147013902664185,0.2121681272983551,0.25249114632606506,0.24442735314369202,0.26431214809417725,0.35346972942352295,0.3133804202079773,0.557660698890686,0.3910183608531952,0.32595282793045044,0.2791045606136322,0.25028350949287415,0.2584019601345062,0.23867961764335632,0.25765618681907654,0.1718481332063675,0.2305223047733307,0.13389621675014496,0.17606595158576965,0.2592310607433319,0.31808415055274963,5,F,79.50721153846153,29,0.7820149011985748,0.07978816327009092,0.8707482993197279,22.76716553287982,-18.99497475651582,13b90e65b754067abdde582a4439ff52_01M0E9X1AGP5JXX7YEA7NAV25V.wav
01M0E9X1BHAGVNQYTXE4CMNJV0,30.00018140589569,44100,1,1323008,0.07161470502614975,0.06135418638586998,0.2590187191963196,9.44576968322508e-05,0.12425048355899419,0.0794443952063042,0.57958984375,11770.1162109375,40.70780750823025,4213.736370977193,1574.7429274300023,3536.001870035938,768.1617108951502,7516.237438799565,3031.363623549925,0.008900551125407219,0.03540487587451935,13.83130045101509,5.312127552361099,20.118010307324663,6.712064883300763,23.677559691671043,6.4115492569349755,23.840651451104254,5.579946608285133,22.724250394388072,4.927656360790573,26.97264190065899,6.28742386421782,38.22295596152005,6.990203450504824,-299.2605285644531,110.8130874633789,58.31987380981445,29.73513412475586,-84.26412963867188,37.543922424316406,-2.40364670753479,24.998258590698242,-14.83510684967041,23.27381706237793,1.0367153882980347,16.773305892944336,-49.669219970703125,26.977479934692383,20.457805633544922,13.816645622253418,-11.219735145568848,13.066204071044922,-20.86505699157715,15.114554405212402,-7.8362956047058105,11.17713737487793,-11.7434720993042,11.12738037109375,-20.975671768188477,11.47087574005127,-3.2123329639434814,13.667044639587402,-15.828409194946289,8.843184471130371,-12.833982467651367,9.84220027923584,4.973171710968018,9.592188835144043,-8.173831939697266,9.963216781616211,-13.0606689453125,13.327990531921387,-6.092183589935303,14.378630638122559,0.13609082996845245,0.017474833875894547,-0.01371187437325716,-0.011827167123556137,-0.0002629543887451291,0.0020742423366755247,-0.01760251075029373,0.012683567591011524,-0.008845705538988113,-0.00022216774232219905,-0.009014596231281757,0.003787688910961151,-0.006043716799467802,-0.0025037017185240984,-0.009825283661484718,-0.0038523979019373655,0.0012195516610518098,0.0037694573402404785,0.0007150417659431696,0.0010138661600649357,0.37933671474456787,0.35357698798179626,0.3107002377510071,0.2590923607349396,0.3972547650337219,0.3638554811477661,0.2826738655567169,0.25239989161491394,0.3756721615791321,0.3292131721973419,0.4050234854221344,0.3302154839038849,0.375900536775589,0.2937523424625397,0.31241530179977417,0.3108212947845459,0.26732391119003296,0.2582032084465027,0.28108882904052734,0.29576849937438965,0.19233042001724243,0.21099957823753357,0.3103068768978119,0.3094196617603302,5,F,120.18531976744185,59,0.4986285088748143,0.03398034322266006,0.5224489795918368,29.442902494331065,-17.505063373564965,e8fb173150cd26420e155e6959acf3f5_01M0E9X1BHAGVNQYTXE4CMNJV0.wav
01M0E9X1CNR601CZY38WVQB82E,2.0148979591836733,44100,1,88857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000008344650269,1.1920928955078125e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1131.370849609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.923907335461483e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,C,0.0,0,,,,,-inf,258454060d359241f2ea3499f91e4fd9_01M0E9X1CNR601CZY38WVQB82E.wav
01M0E9X1D5FB4ZND9B13XSD71K,98.45657596371882,44100,1,4341935,0.11817658692598343,0.07192289084196091,0.43783098459243774,0.0,0.07425646067312228,0.07583065740301234,0.49365234375,83105.078125,49.196275621028136,3683.8631107202623,1930.5070964178776,3982.1097665469756,1171.656099840293,8151.440887397197,3906.9365346134723,0.021715065464377403,0.14008335769176483,18.223867632213196,6.10147890419471,13.339533089258188,5.247161494781168,21.64388318757749,6.799232292936472,21.255633249190947,6.573655610984501,17.611746909545335,4.73140741766492,19.30051513976416,5.043062146183134,55.31844416161388,8.197804738552888,-234.78179931640625,98.39928436279297,81.54866790771484,45.36030578613281,2.3718602657318115,42.0380973815918,37.10849380493164,31.106264114379883,6.161318778991699,21.8289794921875,26.53569221496582,21.355186462402344,-12.117855072021484,19.370872497558594,24.912822723388672,18.284372329711914,-6.47727632522583,13.377394676208496,-3.263380527496338,14.961302757263184,1.78318452835083,13.923249244689941,-0.14452746510505676,13.688714981079102,-7.365477561950684,12.474844932556152,0.7807965278625488,11.896052360534668,-6.010165214538574,11.403483390808105,4.252378940582275,11.50716495513916,-2.8426899909973145,12.729674339294434,5.170012950897217,14.873785972595215,3.8054137229919434,15.01394271850586,4.958641052246094,13.339384078979492,0.00690424581989646,0.004127096850425005,-0.0005049510509707034,0.0003986347292084247,0.0002348919806536287,0.0007809631060808897,0.00016140294610522687,-0.0005313024157658219,-0.0001611928892089054,-0.0004979675286449492,-0.0001994715421460569,0.00039783792453818023,0.000446325313532725,-0.00015360262477770448,-0.0005765680107288063,-0.0005943426513113081,-0.0006879459833726287,-0.00032981642289087176,-0.00024328460858669132,-0.0007849936955608428,0.32447001338005066,0.3159884512424469,0.29377713799476624,0.29985201358795166,0.32033830881118774,0.3222472071647644,0.33935073018074036,0.31796953082084656,0.4036951959133148,0.3752151131629944,0.35979488492012024,0.3242177665233612,0.3881891965866089,0.34062111377716064,0.3874204754829407,0.34898340702056885,0.3529736399650574,0.3060912787914276,0.39745602011680603,0.3517422080039978,0.40095892548561096,0.31663355231285095,0.43257543444633484,0.3609372675418854,11,B,120.18531976744185,190,0.5000275948121753,0.02231316098459953,0.2438095238095238,94.74902494331066,-17.265293378901855,de3496908c92f8421727d3e527103b57_01M0E9X1D5FB4ZND9B13XSD71K.mp3
01M0RFPVN7FD6R26FDRFX77R9Z,210.39020408163265,44100,1,9278208,0.10719645023345947,0.07192178815603256,0.4340103268623352,0.0001558176736580208,0.01783654600589063,0.011611985401566457,0.21044921875,154614.671875,51.89250703114108,912.8618334644057,416.9391982331858,1508.2340293107932,441.07278089401035,1526.7744451021204,1242.507789301621,2.451288537486107e-06,0.00013355865667108446,19.02914137657065,5.928927353290865,17.302583636119326,4.904970534929584,20.06951715284603,5.17011895075051,20.077119386430777,4.851935267893941,18.87720271420607,3.9941660506448,21.034513324054803,5.435228114660115,50.702755951912906,2.4308193895433,-337.37762451171875,60.71894073486328,143.69235229492188,33.48482131958008,25.35601234436035,32.97867965698242,23.358951568603516,12.421607971191406,35.4072265625,11.199999809265137,8.131401062011719,12.725127220153809,-0.4679081439971924,10.76073169708252,4.1925482749938965,7.9922332763671875,-4.318015098571777,9.486065864562988,-9.655075073242188,8.439627647399902,-7.832273960113525,7.553779125213623,-7.670865535736084,7.664146423339844,-6.707937717437744,8.704834938049316,-8.520340919494629,8.973589897155762,-14.335288047790527,8.564970016479492,-13.70035171508789,8.712576866149902,-8.213373184204102,9.115255355834961,-7.8885498046875,8.29166316986084,-10.003646850585938,8.527621269226074,-9.193693161010742,9.173467636108398,-0.003242931328713894,-0.003581458004191518,-0.0016334127867594361,-0.00048548579798080027,-0.0003711596946232021,-0.00035967299481853843,-0.00014552687935065478,1.6940297427936457e-05,0.00027458820841275156,0.0006669193389825523,0.0007046947139315307,0.0003067491634283215,1.8252849258715287e-05,3.8520083762705326e-05,0.00014214283146429807,0.00027979884180240333,0.0003399456909392029,7.649726467207074e-05,-0.0002847769355867058,-0.00033282258664257824,0.3220353126525879,0.28475871682167053,0.4855921268463135,0.3325267434120178,0.5915400981903076,0.4037814438343048,0.41813844442367554,0.281127005815506,0.25198519229888916,0.29317718744277954,0.16309954226016998,0.2361353039741516,0.1262439787387848,0.19140107929706573,0.15513260662555695,0.23058927059173584,0.2543977200984955,0.34394487738609314,0.2991222143173218,0.385084867477417,0.2781980037689209,0.29494622349739075,0.2878194749355316,0.2916278541088104,2,D,103.359375,358,0.5768890413308181,0.03876728526173122,0.046439909297052155,205.9958276643991,-18.104405880944714,3a9570be947691c9da7313787e0c3f43_01M0RFPVN7FD6R26FDRFX77R9Z.mp3
01M0RFPVNJ21SF5Y7VHPP8QV6T,285.8579591836735,44100,1,12606336,0.16837987303733826,0.0804813876748085,0.456287682056427,1.456014251743909e-05,0.05779715469778044,0.06075249610768144,0.63134765625,439071.0,56.42534753533695,2682.52497236552,1409.4461116712923,3114.7147480200524,892.019651367935,5735.113545717499,2929.914883258851,0.0009039490250870585,0.008862179704010487,17.856764773493424,5.6429740177498875,12.498582546041604,4.3985186820605655,17.296617347852415,5.0695991783583745,20.138432402632553,4.893177500728446,20.876417334378875,4.636410893526731,19.899021937470796,4.563624628075943,56.32715135848639,3.7724573300007704,-168.2349090576172,80.10875701904297,133.34466552734375,37.051902770996094,-19.9012393951416,28.807106018066406,43.66395568847656,19.7246150970459,-7.689811706542969,18.281225204467773,25.283239364624023,13.135061264038086,-1.245380163192749,13.709357261657715,7.443418025970459,13.665715217590332,1.5506744384765625,14.15603256225586,5.230340003967285,11.410945892333984,-4.200555801391602,11.554342269897461,3.9016225337982178,8.814281463623047,5.125580787658691,9.290243148803711,3.2880399227142334,8.860526084899902,3.697080135345459,9.753942489624023,1.0097286701202393,10.546822547912598,3.094090700149536,9.107222557067871,2.416660785675049,9.701292037963867,5.7546706199646,10.453473091125488,1.0859571695327759,10.059699058532715,6.19721740591217e-09,-3.718330532365144e-09,-2.323956582728215e-10,1.5493043514780425e-09,6.197217738979077e-10,-6.197217738979077e-10,3.0986088694895386e-10,3.873260878695106e-10,5.03523944761497e-10,1.007047889522994e-09,5.809891456820537e-11,5.809891456820537e-11,6.584543466026105e-10,6.003554320344051e-10,-3.0986088694895386e-10,6.003554320344051e-10,3.873261086861923e-11,1.0845130349323995e-09,-3.4859348740923224e-10,-1.1619782913641075e-09,0.3650117516517639,0.3154852092266083,0.339017778635025,0.2556740641593933,0.4585440158843994,0.31295937299728394,0.40450167655944824,0.2738969922065735,0.44262993335723877,0.30623236298561096,0.46722087264060974,0.33106499910354614,0.41849055886268616,0.27070870995521545,0.5160111784934998,0.3487345278263092,0.44587066769599915,0.28046858310699463,0.4681868851184845,0.32491523027420044,0.4409944713115692,0.29083219170570374,0.3993712365627289,0.29361850023269653,7,G,143.5546875,673,0.4183738257207645,0.016990207708546208,0.3599092970521542,281.5071201814059,-15.140514452206332,ecfb89c0cd2208c39e00aac31a253a1f_01M0RFPVNJ21SF5Y7VHPP8QV6T.mp3
01M0RFPVP4DRN0N5QYQ124EVEY,312.26666666666665,44100,1,13770960,0.06779589504003525,0.07355773448944092,0.7174849510192871,0.0,0.04236475678630516,0.03399944500198274,0.34130859375,137809.390625,51.39278812329692,2163.4488737284987,971.4086739197944,2871.2871352170505,726.1120647274938,4589.306246688757,2362.9315035885243,0.0004332355165388435,0.01369968056678772,14.053022442603279,5.294649720727941,10.061520921254438,3.7063638421207594,13.272085207411312,4.153807214827931,16.09715996602442,4.283881347147815,16.18713645769888,3.76453658138024,16.187518842984826,3.0742298935139662,53.10242191979655,3.6398167843611815,-272.5946350097656,75.13792419433594,123.4629898071289,36.44330596923828,8.972271919250488,29.57238006591797,23.22264289855957,23.317157745361328,6.5110979080200195,12.328726768493652,5.343873500823975,11.429817199707031,6.57940149307251,9.300200462341309,1.632290005683899,9.600071907043457,0.5619736909866333,9.491231918334961,0.36613523960113525,8.683160781860352,1.071231722831726,7.653838157653809,2.96926212310791,7.256405830383301,2.564347505569458,7.388351917266846,1.1201727390289307,6.698296070098877,0.611781120300293,6.349883556365967,-0.45060020685195923,6.157015323638916,0.533577024936676,6.468149185180664,0.946044921875,6.3853912353515625,-0.41674765944480896,6.423891067504883,-0.5977789759635925,6.070273399353027,-5.879005038877949e-05,-8.646854985272512e-05,-9.548096568323672e-05,-0.00010713786468841136,-0.00011602207814576104,-0.00011520255793584511,-9.873173985397443e-05,-6.512935942737386e-05,-1.9902397980331443e-05,2.50333032454364e-05,5.574523675022647e-05,6.288805161602795e-05,4.701949001173489e-05,1.9183054973836988e-05,-4.364278083812678e-06,-1.087777127395384e-05,1.5844127574382583e-06,2.2873966372571886e-05,3.677629501908086e-05,3.1097875762498006e-05,0.5890523791313171,0.3102046847343445,0.5093849301338196,0.29944244027137756,0.4861892759799957,0.2991730868816376,0.5134640336036682,0.29522421956062317,0.5532293319702148,0.28926795721054077,0.5551271438598633,0.29148292541503906,0.5125157833099365,0.2666715383529663,0.5317505598068237,0.2877964973449707,0.5441831350326538,0.3027532994747162,0.5374929308891296,0.2917838990688324,0.5260166525840759,0.2937629520893097,0.558907687664032,0.2953464388847351,0,C,147.65625,734,0.40647591824360485,0.013355055722587236,9.044172335600907,306.99102040816325,-21.04107134271046,1ffebc2bd5ff8c6fad820477a0d14f58_01M0RFPVP4DRN0N5QYQ124EVEY.mp3
