audio_path,passed,reasons,warnings,duration,sample_rate,bit_depth,channels,file_size,silence_ratio,clipping_ratio,snr_db,dynamic_range_db,loudness_lufs,true_peak_db,corrupted,too_short,too_long,low_sample_rate,low_bit_depth,high_silence,high_clipping,low_snr,low_dynamic_range,loudness_normalized,noise_candidate,noise_candidate_reason
/Users/m.jian/music_corpus_project/data/00_raw_collect/raw_audio/f0/b8/f0b8fba5717578aecd96cb0114ff8ad7_01M0E9X162CTB4D15WZQ5D8FVX.wav,False,SNR过低: 19.3dB < 20dB,True Peak超限，应用峰值限制: -5.5dB; 响度已归一化: -18.6 → -14 LUFS,30.0,44100,16,2,5292142,0.3425,0.0,19.27,51.99,-18.64,-0.1,False,False,False,False,False,False,False,True,False,True,False,
/Users/m.jian/music_corpus_project/data/00_raw_collect/raw_audio/62/96/6296d8903f0d52a9225aaafabb1eb449_01M0E9X17RZ522YBF6Z913H4VJ.wav,False,静音占比过高: 62.6% > 50.0%,True Peak超限，应用峰值限制: -3.0dB; 响度已归一化: -18.4 → -14 LUFS,30.0,44100,16,2,5292142,0.6258,0.0,27.78,75.08,-18.38,-2.38,False,False,False,False,False,True,False,False,False,True,False,
/Users/m.jian/music_corpus_project/data/00_raw_collect/raw_audio/0e/5b/0e5bed0b45b606bc1d1b7678bc07bc70_01M0E9X19DMAXGT6QD167G1YJX.wav,True,,True Peak超限，应用峰值限制: -3.7dB; 响度已归一化: -18.1 → -14 LUFS,30.0,44100,16,2,5292142,0.2988,0.0,21.58,44.98,-18.06,-1.32,False,False,False,False,False,False,False,False,False,True,False,
/Users/m.jian/music_corpus_project/data/00_raw_collect/raw_audio/13/b9/13b90e65b754067abdde582a4439ff52_01M0E9X1AGP5JXX7YEA7NAV25V.wav,True,,True Peak超限，应用峰值限制: -3.3dB; 响度已归一化: -19.0 → -14 LUFS,30.0,44100,16,2,5292142,0.4361,0.0,24.55,68.33,-18.99,-2.69,False,False,False,False,False,False,False,False,False,True,False,
/Users/m.jian/music_corpus_project/data/00_raw_collect/raw_audio/e8/fb/e8fb173150cd26420e155e6959acf3f5_01M0E9X1BHAGVNQYTXE4CMNJV0.wav,False,SNR过低: 19.9dB < 20dB,True Peak超限，应用峰值限制: -4.5dB; 响度已归一化: -17.5 → -14 LUFS,30.0,44100,16,2,5292142,0.303,0.0,19.88,45.52,-17.5,-0.02,False,False,False,False,False,False,False,True,False,True,False,
/Users/m.jian/music_corpus_project/data/00_raw_collect/raw_audio/25/84/258454060d359241f2ea3499f91e4fd9_01M0E9X1CNR601CZY38WVQB82E.wav,False,时长过短: 2.0s < 5s,响度已归一化: -inf → -14 LUFS; 降噪候选: spectral_flatness=1.000>0.5,2.015,44100,16,2,355538,0.0,0.0,inf,0.0,-inf,-200.0,False,True,False,False,False,False,False,False,False,True,True,spectral_flatness=1.000>0.5
/Users/m.jian/music_corpus_project/data/00_raw_collect/raw_audio/de/34/de3496908c92f8421727d3e527103b57_01M0E9X1D5FB4ZND9B13XSD71K.mp3,False,SNR过低: 16.1dB < 20dB; 动态范围过低: 30.0dB < 30dB,True Peak超限，应用峰值限制: -2.8dB; 响度已归一化: -17.3 → -14 LUFS; 已修复后检查: ['format:mp3→wav'],98.457,44100,16,2,17367784,0.1667,0.0,16.14,29.98,-17.27,-1.51,False,False,False,False,False,False,False,True,True,True,False,
