track_id,yamnet_top_tags,is_music,has_speech,has_vocals,has_noise,has_silence,music_ratio,speech_ratio,vocals_ratio,noise_ratio,silence_ratio,vocals_ratio_estimate,total_frames,high_confidence_frames
01M0E9X162CTB4D15WZQ5D8FVX,Speech:12; Chant:6; Singing:5; Silence:4; Child singing:2,False,True,True,False,False,0.1875,0.375,0.1562,0.0,0.125,0.1562,62,32
01M0E9X17RZ522YBF6Z913H4VJ,"Silence:30; Speech:6; Singing:2; Crying, sobbing:1; Child singing:1",False,True,False,False,True,0.0488,0.1463,0.0488,0.0,0.7317,0.0488,62,41
01M0E9X19DMAXGT6QD167G1YJX,Speech:8; Music:6; Chant:2; Singing:1; Vocal music:1,True,True,False,False,False,0.3182,0.3636,0.0455,0.0,0.0455,0.0455,62,22
01M0E9X1AGP5JXX7YEA7NAV25V,"Silence:11; Speech:9; Music:5; Crying, sobbing:1; Child singing:1",False,True,False,False,True,0.2069,0.3103,0.0345,0.0,0.3793,0.0345,62,29
01M0E9X1BHAGVNQYTXE4CMNJV0,Speech:7; Chant:5; Singing:5; Music:4,True,True,True,False,False,0.4286,0.3333,0.2381,0.0,0.0,0.2381,62,21
01M0E9X1D5FB4ZND9B13XSD71K,Music:178; Speech:6; Silence:5; A capella:1,True,False,False,False,False,0.9368,0.0316,0.0,0.0,0.0263,0.0,205,190
