audio_id,audio_path,f0_torchcrepe_mean_hz,f0_torchcrepe_voiced_ratio,f0_librosa_mean_hz,f0_librosa_voiced_ratio,consistency_torchcrepe_librosa_n_voiced_frames,consistency_torchcrepe_librosa_mean_abs_error_cents,consistency_torchcrepe_librosa_median_abs_error_cents,consistency_torchcrepe_librosa_chroma_accuracy,consistency_torchcrepe_librosa_voicing_overlap
0e5bed0b45b606bc1d1b7678bc07bc70_01M0E9X19DMAXGT6QD167G1YJX,data/01_preprocess/processed_master/0e/5b/0e5bed0b45b606bc1d1b7678bc07bc70_01M0E9X19DMAXGT6QD167G1YJX.flac,0,0.0,353.2502932588615,0.7795823665893271,0,0,0,0,0
13b90e65b754067abdde582a4439ff52_01M0E9X1AGP5JXX7YEA7NAV25V,data/01_preprocess/processed_master/13/b9/13b90e65b754067abdde582a4439ff52_01M0E9X1AGP5JXX7YEA7NAV25V.flac,0,0.0,361.8262289279131,0.8329466357308585,0,0,0,0,0
258454060d359241f2ea3499f91e4fd9_01M0E9X1CNR601CZY38WVQB82E,data/01_preprocess/processed_master/25/84/258454060d359241f2ea3499f91e4fd9_01M0E9X1CNR601CZY38WVQB82E.flac,0,0.0,0.0,0.0,0,0,0,0,0
