audio_id,file_relative_path,original_filename,sha256,file_bytes,import_timestamp
01M0E9X162CTB4D15WZQ5D8FVX,raw_audio/f0/b8/f0b8fba5717578aecd96cb0114ff8ad7_01M0E9X162CTB4D15WZQ5D8FVX.wav,f0b8fba5717578aecd96cb0114ff8ad7_01M0E9X162CTB4D15WZQ5D8FVX.wav,502498367a53232b335605da083bc1a6611f9cc109b78e2b9c3fcf12f2c9c4ba,5292142,2026-08-24T08:13:16.900715
01M0E9X17RZ522YBF6Z913H4VJ,raw_audio/62/96/6296d8903f0d52a9225aaafabb1eb449_01M0E9X17RZ522YBF6Z913H4VJ.wav,6296d8903f0d52a9225aaafabb1eb449_01M0E9X17RZ522YBF6Z913H4VJ.wav,62b1cce98acdd95081ed36c182b46509fe47fa3fed8a3e9831cb38557da333a7,5292142,2026-08-24T08:13:16.900715
01M0E9X19DMAXGT6QD167G1YJX,raw_audio/0e/5b/0e5bed0b45b606bc1d1b7678bc07bc70_01M0E9X19DMAXGT6QD167G1YJX.wav,0e5bed0b45b606bc1d1b7678bc07bc70_01M0E9X19DMAXGT6QD167G1YJX.wav,a0a56ad91bcae3542032746e5bc9bea7e9498b06239ee3e42d4c046426f70a29,5292142,2026-08-24T08:13:16.900715
01M0E9X1AGP5JXX7YEA7NAV25V,raw_audio/13/b9/13b90e65b754067abdde582a4439ff52_01M0E9X1AGP5JXX7YEA7NAV25V.wav,13b90e65b754067abdde582a4439ff52_01M0E9X1AGP5JXX7YEA7NAV25V.wav,d15ab389ea34786a30c008fa471a2b770b6cba5e5737d57b0964cd90451eee61,5292142,2026-08-24T08:13:16.900715
01M0E9X1BHAGVNQYTXE4CMNJV0,raw_audio/e8/fb/e8fb173150cd26420e155e6959acf3f5_01M0E9X1BHAGVNQYTXE4CMNJV0.wav,e8fb173150cd26420e155e6959acf3f5_01M0E9X1BHAGVNQYTXE4CMNJV0.wav,32bbfab57d14b71591de2e6f420554669cd855493bfcc3125dae3c20b675550b,5292142,2026-08-24T08:13:16.900715
01M0E9X1CNR601CZY38WVQB82E,raw_audio/25/84/258454060d359241f2ea3499f91e4fd9_01M0E9X1CNR601CZY38WVQB82E.wav,258454060d359241f2ea3499f91e4fd9_01M0E9X1CNR601CZY38WVQB82E.wav,5af367e1524299f37bdd7a46e40d43d51256272ab91206e9f7003afca752f8c9,355538,2026-08-24T08:13:16.900715
01M0E9X1D5FB4ZND9B13XSD71K,raw_audio/de/34/de3496908c92f8421727d3e527103b57_01M0E9X1D5FB4ZND9B13XSD71K.mp3,de3496908c92f8421727d3e527103b57_01M0E9X1D5FB4ZND9B13XSD71K.mp3,ace67703b9cfb5bfe6b288c1e9e54f5e1f0fac5154345f204a754baea39cc8ef,2364265,2026-08-24T08:13:16.900715
01M0RFPVN7FD6R26FDRFX77R9Z,raw_audio/3a/95/3a9570be947691c9da7313787e0c3f43_01M0RFPVN7FD6R26FDRFX77R9Z.mp3,3a9570be947691c9da7313787e0c3f43_01M0RFPVN7FD6R26FDRFX77R9Z.mp3,66b6e22dd800e57e97817e4a18e5e7694efce1d132a90c59ba0557bc0d908f5f,2049752,2026-08-24T08:13:16.900715
01M0RFPVNJ21SF5Y7VHPP8QV6T,raw_audio/ec/fb/ecfb89c0cd2208c39e00aac31a253a1f_01M0RFPVNJ21SF5Y7VHPP8QV6T.mp3,ecfb89c0cd2208c39e00aac31a253a1f_01M0RFPVNJ21SF5Y7VHPP8QV6T.mp3,d639f860ac5d2c70272e9feb2f6abf059319ce4f5de38a6b517e73c559297379,3598545,2026-08-24T08:13:16.900715
01M0RFPVP4DRN0N5QYQ124EVEY,raw_audio/1f/fe/1ffebc2bd5ff8c6fad820477a0d14f58_01M0RFPVP4DRN0N5QYQ124EVEY.mp3,1ffebc2bd5ff8c6fad820477a0d14f58_01M0RFPVP4DRN0N5QYQ124EVEY.mp3,0eb1bbd1e51ded9f89a728065eb223c385b441c58e2cf57de70b829db4367041,3826691,2026-08-24T08:13:16.900715
01M0RFPVPNNQ8XKY1MCWV09261,raw_audio/51/54/515480a47dbd89441fb385af845590d8_01M0RFPVPNNQ8XKY1MCWV09261.mp3,515480a47dbd89441fb385af845590d8_01M0RFPVPNNQ8XKY1MCWV09261.mp3,c67fa42a584d6caf1baff7f400137081968c5214e10cfd9871bcd2e840986ae7,5226800,2026-08-24T08:13:16.900715
01M0RFPVQ9VHGMFC40XBGPPTWQ,raw_audio/7c/f0/7cf0a50d65af6dd4d07a7dd7aae69dd1_01M0RFPVQ9VHGMFC40XBGPPTWQ.mp3,7cf0a50d65af6dd4d07a7dd7aae69dd1_01M0RFPVQ9VHGMFC40XBGPPTWQ.mp3,b15be0e8e2aee628805f43ee2afa2faab3975b80321301e87346196118a2feb8,3452783,2026-08-24T08:13:16.900715
