audio_id_1,audio_id_2,similarity
01M0E9X162CTB4D15WZQ5D8FVX,01M0E9X17RZ522YBF6Z913H4VJ,0.9505
01M0E9X162CTB4D15WZQ5D8FVX,01M0E9X19DMAXGT6QD167G1YJX,0.9786
01M0E9X162CTB4D15WZQ5D8FVX,01M0E9X1AGP5JXX7YEA7NAV25V,0.9567
01M0E9X162CTB4D15WZQ5D8FVX,01M0E9X1BHAGVNQYTXE4CMNJV0,0.9672
01M0E9X162CTB4D15WZQ5D8FVX,01M0E9X1D5FB4ZND9B13XSD71K,0.9551
